257.0,51.0,41.0,193.0,141.0,45.0,65.0,25.0
51.0,765.0,43.0,83.0,19.0,139.0,65.0,13.0
99.0,171.0,151.0,15.0,29.0,11.0,89.0,17.0
169.0,77.0,217.0,31.0,183.0,57.0,13.0,57.0
21.0,65.0,47.0,123.0,21.0,21.0,9.0,9.0
65.0,35.0,89.0,221.0,15.0,19.0,17.0,17.0
203.0,47.0,247.0,29.0,157.0,49.0,19.0,11.0
29.0,131.0,53.0,87.0,103.0,25.0,11.0,9.0
271.0,761.0,161.0,163.0,105.0,103.0,43.0,9.0
233.0,25.0,11.0,155.0,9.0,43.0,21.0,9.0
429.0,331.0,29.0,37.0,87.0,47.0,9.0,29.0
999.0,227.0,285.0,35.0,187.0,23.0,159.0,17.0
127.0,251.0,65.0,29.0,19.0,11.0,9.0,13.0
1000.0,17.0,51.0,265.0,15.0,73.0,19.0,11.0
29.0,49.0,37.0,43.0,27.0,19.0,9.0,9.0
229.0,91.0,179.0,55.0,37.0,179.0,89.0,9.0
425.0,191.0,139.0,49.0,59.0,55.0,43.0,49.0
131.0,331.0,333.0,37.0,123.0,229.0,13.0,23.0
61.0,57.0,25.0,187.0,37.0,9.0,29.0,31.0
83.0,61.0,25.0,13.0,23.0,85.0,41.0,21.0
533.0,135.0,35.0,11.0,11.0,9.0,9.0,39.0
691.0,59.0,111.0,131.0,53.0,13.0,27.0,11.0
45.0,151.0,451.0,79.0,21.0,71.0,23.0,9.0
79.0,681.0,31.0,49.0,59.0,13.0,9.0,9.0
35.0,21.0,91.0,31.0,159.0,21.0,41.0,51.0
55.0,683.0,505.0,169.0,91.0,25.0,21.0,23.0
45.0,159.0,85.0,203.0,23.0,19.0,25.0,13.0
105.0,73.0,25.0,41.0,67.0,89.0,45.0,11.0
451.0,391.0,195.0,271.0,111.0,55.0,31.0,11.0
167.0,155.0,171.0,221.0,85.0,31.0,55.0,11.0
71.0,101.0,45.0,33.0,89.0,23.0,91.0,21.0
187.0,169.0,157.0,57.0,59.0,19.0,11.0,13.0
137.0,405.0,133.0,51.0,101.0,59.0,75.0,21.0
117.0,33.0,223.0,363.0,21.0,119.0,15.0,9.0
79.0,45.0,81.0,37.0,229.0,127.0,41.0,31.0
257.0,169.0,189.0,21.0,79.0,21.0,59.0,43.0
475.0,67.0,37.0,19.0,21.0,71.0,23.0,9.0
45.0,13.0,255.0,115.0,11.0,49.0,13.0,11.0
25.0,163.0,201.0,55.0,21.0,11.0,13.0,11.0
545.0,377.0,15.0,135.0,15.0,9.0,125.0,29.0
317.0,99.0,581.0,263.0,87.0,33.0,9.0,13.0
183.0,37.0,19.0,109.0,83.0,75.0,101.0,9.0
193.0,69.0,13.0,249.0,17.0,25.0,15.0,9.0
11.0,217.0,591.0,23.0,147.0,39.0,9.0,11.0
419.0,315.0,145.0,137.0,9.0,35.0,13.0,19.0
169.0,815.0,53.0,227.0,137.0,155.0,27.0,11.0
51.0,47.0,37.0,17.0,65.0,11.0,35.0,15.0
55.0,59.0,29.0,93.0,23.0,45.0,49.0,25.0
17.0,91.0,33.0,13.0,193.0,11.0,39.0,9.0
351.0,39.0,249.0,135.0,51.0,21.0,27.0,11.0
719.0,587.0,13.0,53.0,31.0,31.0,9.0,17.0
19.0,641.0,55.0,57.0,179.0,17.0,23.0,13.0
289.0,285.0,67.0,49.0,17.0,21.0,71.0,35.0
361.0,23.0,267.0,57.0,11.0,61.0,15.0,13.0
263.0,29.0,91.0,187.0,17.0,127.0,31.0,25.0
71.0,163.0,223.0,195.0,27.0,113.0,9.0,13.0
13.0,75.0,81.0,23.0,17.0,93.0,15.0,17.0
173.0,57.0,267.0,233.0,85.0,11.0,65.0,9.0
17.0,11.0,35.0,419.0,47.0,43.0,23.0,41.0
309.0,13.0,91.0,201.0,71.0,29.0,21.0,33.0
43.0,215.0,29.0,23.0,31.0,29.0,55.0,21.0
79.0,45.0,91.0,185.0,45.0,95.0,27.0,25.0
167.0,29.0,53.0,11.0,23.0,57.0,13.0,17.0
39.0,135.0,105.0,49.0,171.0,83.0,11.0,59.0
75.0,501.0,33.0,219.0,167.0,9.0,13.0,21.0
105.0,75.0,19.0,235.0,173.0,85.0,13.0,31.0
47.0,23.0,35.0,73.0,81.0,13.0,9.0,17.0
251.0,523.0,261.0,77.0,93.0,39.0,27.0,25.0
277.0,77.0,127.0,63.0,119.0,35.0,87.0,11.0
59.0,331.0,261.0,291.0,15.0,23.0,49.0,15.0
117.0,475.0,89.0,181.0,13.0,85.0,21.0,23.0
405.0,309.0,55.0,129.0,65.0,9.0,25.0,9.0
69.0,187.0,57.0,21.0,269.0,101.0,41.0,13.0
19.0,23.0,115.0,75.0,29.0,49.0,37.0,85.0
101.0,43.0,39.0,163.0,113.0,23.0,13.0,15.0
79.0,39.0,21.0,123.0,389.0,327.0,9.0,9.0
295.0,219.0,87.0,61.0,15.0,47.0,51.0,13.0
57.0,67.0,59.0,15.0,59.0,113.0,49.0,9.0
1000.0,313.0,333.0,27.0,15.0,13.0,9.0,9.0
299.0,19.0,9.0,49.0,15.0,41.0,21.0,15.0
73.0,397.0,163.0,173.0,25.0,11.0,73.0,9.0
9.0,93.0,13.0,95.0,33.0,73.0,71.0,43.0
189.0,27.0,163.0,89.0,75.0,149.0,13.0,9.0
51.0,13.0,135.0,349.0,43.0,87.0,83.0,15.0
299.0,29.0,141.0,21.0,321.0,77.0,55.0,59.0
693.0,55.0,19.0,131.0,35.0,35.0,13.0,13.0
563.0,271.0,21.0,11.0,137.0,21.0,49.0,41.0
77.0,157.0,185.0,461.0,13.0,9.0,63.0,17.0
63.0,25.0,189.0,67.0,47.0,11.0,45.0,29.0
77.0,197.0,433.0,113.0,71.0,35.0,37.0,27.0
109.0,77.0,139.0,55.0,9.0,63.0,9.0,17.0
111.0,121.0,61.0,95.0,55.0,85.0,31.0,9.0
69.0,99.0,23.0,45.0,91.0,15.0,77.0,69.0
25.0,13.0,201.0,13.0,151.0,77.0,29.0,9.0
61.0,79.0,77.0,71.0,171.0,139.0,15.0,25.0
333.0,357.0,31.0,21.0,69.0,53.0,11.0,41.0
