281.0,167.0,155.0,221.0,11.0,11.0,31.0,81.0
163.0,33.0,127.0,243.0,21.0,151.0,27.0,11.0
165.0,173.0,55.0,227.0,59.0,25.0,53.0,45.0
385.0,25.0,21.0,55.0,55.0,85.0,75.0,15.0
79.0,161.0,113.0,81.0,9.0,61.0,13.0,29.0
697.0,83.0,25.0,29.0,161.0,95.0,17.0,13.0
91.0,185.0,111.0,17.0,179.0,119.0,21.0,31.0
41.0,373.0,533.0,103.0,13.0,9.0,17.0,17.0
53.0,599.0,101.0,13.0,61.0,29.0,39.0,35.0
281.0,371.0,193.0,19.0,17.0,13.0,25.0,21.0
19.0,231.0,211.0,23.0,17.0,13.0,17.0,11.0
151.0,71.0,77.0,61.0,319.0,53.0,15.0,41.0
143.0,195.0,15.0,207.0,55.0,9.0,9.0,11.0
333.0,39.0,21.0,15.0,25.0,165.0,17.0,15.0
1000.0,31.0,179.0,37.0,61.0,67.0,61.0,9.0
125.0,283.0,23.0,45.0,41.0,203.0,67.0,11.0
715.0,453.0,13.0,37.0,19.0,15.0,85.0,11.0
143.0,461.0,147.0,225.0,15.0,47.0,11.0,33.0
565.0,125.0,97.0,121.0,67.0,35.0,55.0,51.0
413.0,125.0,309.0,253.0,27.0,21.0,13.0,39.0
15.0,61.0,245.0,75.0,273.0,77.0,17.0,25.0
197.0,121.0,39.0,23.0,97.0,77.0,9.0,11.0
331.0,55.0,65.0,45.0,317.0,63.0,111.0,19.0
65.0,47.0,189.0,57.0,123.0,17.0,21.0,39.0
53.0,299.0,97.0,61.0,13.0,13.0,17.0,9.0
149.0,51.0,57.0,173.0,25.0,23.0,9.0,23.0
17.0,81.0,127.0,31.0,23.0,13.0,13.0,11.0
113.0,441.0,39.0,9.0,175.0,19.0,15.0,37.0
597.0,125.0,17.0,19.0,59.0,21.0,9.0,17.0
33.0,311.0,33.0,165.0,13.0,43.0,39.0,11.0
217.0,309.0,33.0,39.0,383.0,83.0,101.0,33.0
19.0,585.0,233.0,161.0,53.0,31.0,17.0,15.0
57.0,107.0,201.0,53.0,145.0,177.0,9.0,21.0
49.0,229.0,167.0,351.0,11.0,19.0,63.0,9.0
69.0,151.0,19.0,31.0,101.0,69.0,9.0,61.0
29.0,51.0,33.0,225.0,137.0,141.0,9.0,33.0
